Region,Year,NumDeaths
Western Europe,1994,100
Australasia & Oceania,1995,6
Central America & Caribbean,1995,80
Central Asia,1995,76
East Asia,1995,21
Eastern Europe,1995,156
Middle East & North Africa,1995,978
North America,1995,235
South America,1995,565
South Asia,1995,2035
Southeast Asia,1995,310
Sub-Saharan Africa,1995,1093
Western Europe,1995,65
Australasia & Oceania,1996,23
Central America & Caribbean,1996,81
Central Asia,1996,49
East Asia,1996,32
Eastern Europe,1996,166
Middle East & North Africa,1996,919
North America,1996,97
South America,1996,694
South Asia,1996,1797
Southeast Asia,1996,266
Sub-Saharan Africa,1996,2546
Western Europe,1996,42
Australasia & Oceania,1997,0
Central America & Caribbean,1997,73
Central Asia,1997,80
East Asia,1997,38
Eastern Europe,1997,115
Middle East & North Africa,1997,4599
North America,1997,231
South America,1997,1317
South Asia,1997,1732
Southeast Asia,1997,335
Sub-Saharan Africa,1997,2186
Western Europe,1997,40
Australasia & Oceania,1998,0
Central America & Caribbean,1998,0
Central Asia,1998,61
East Asia,1998,50
Eastern Europe,1998,109
Middle East & North Africa,1998,1034
North America,1998,7
South America,1998,597
South Asia,1998,1200
Southeast Asia,1998,54
Sub-Saharan Africa,1998,1405
Western Europe,1998,54
Australasia & Oceania,1999,2
Central America & Caribbean,1999,3
Central Asia,1999,35
East Asia,1999,5
Eastern Europe,1999,437
Middle East & North Africa,1999,649
North America,1999,20
South America,1999,293
South Asia,1999,876
Southeast Asia,1999,123
Sub-Saharan Africa,1999,885
Western Europe,1999,12
Australasia & Oceania,2000,0
Central America & Caribbean,2000,4
Central Asia,2000,18
East Asia,2000,1
Eastern Europe,2000,380
Middle East & North Africa,2000,492
North America,2000,0
South America,2000,355
South Asia,2000,1211
Southeast Asia,2000,390
Sub-Saharan Africa,2000,874
Western Europe,2000,39
Australasia & Oceania,2001,0
Central America & Caribbean,2001,1
Central Asia,2001,16
East Asia,2001,9
Eastern Europe,2001,286
Middle East & North Africa,2001,744
North America,2001,3021
South America,2001,469
South Asia,2001,1135
Southeast Asia,2001,268
Sub-Saharan Africa,2001,1079
Western Europe,2001,38
Australasia & Oceania,2002,1
Central America & Caribbean,2002,0
Central Asia,2002,3
East Asia,2002,0
Eastern Europe,2002,473
Middle East & North Africa,2002,972
North America,2002,4
South America,2002,286
South Asia,2002,1094
Southeast Asia,2002,372
Sub-Saharan Africa,2002,370
Western Europe,2002,7
Australasia & Oceania,2003,1
Central America & Caribbean,2003,5
Central Asia,2003,1
East Asia,2003,1
Eastern Europe,2003,335
Middle East & North Africa,2003,972
North America,2003,2
South America,2003,188
South Asia,2003,751
Southeast Asia,2003,327
Sub-Saharan Africa,2003,494
Western Europe,2003,5
Central America & Caribbean,2004,38
Central Asia,2004,36
East Asia,2004,4
Eastern Europe,2004,608
Middle East & North Africa,2004,2423
North America,2004,0
South America,2004,89
South Asia,2004,1574
Southeast Asia,2004,281
Sub-Saharan Africa,2004,317
Western Europe,2004,196
Central America & Caribbean,2005,1
Central Asia,2005,18
East Asia,2005,12
Eastern Europe,2005,157
Middle East & North Africa,2005,3813
North America,2005,2
South America,2005,149
South Asia,2005,1337
Southeast Asia,2005,265
Sub-Saharan Africa,2005,370
Western Europe,2005,60
Australasia & Oceania,2006,0
Central America & Caribbean,2006,7
Central Asia,2006,6
East Asia,2006,0
Eastern Europe,2006,59
Middle East & North Africa,2006,4454
North America,2006,8
South America,2006,93
South Asia,2006,2845
Southeast Asia,2006,257
Sub-Saharan Africa,2006,965
Western Europe,2006,6
Australasia & Oceania,2007,0
Central America & Caribbean,2007,2
Central Asia,2007,1
Eastern Europe,2007,57
Middle East & North Africa,2007,6979
North America,2007,25
South America,2007,83
South Asia,2007,3638
Southeast Asia,2007,375
Sub-Saharan Africa,2007,1381
Western Europe,2007,16
Australasia & Oceania,2008,0
Central Asia,2008,20
East Asia,2008,39
Eastern Europe,2008,101
Middle East & North Africa,2008,3311
North America,2008,23
South America,2008,109
South Asia,2008,3316
Southeast Asia,2008,395
Sub-Saharan Africa,2008,1308
Western Europe,2008,3
Australasia & Oceania,2009,0
Central America & Caribbean,2009,3
Central Asia,2009,10
East Asia,2009,186
Eastern Europe,2009,140
Middle East & North Africa,2009,2616
North America,2009,17
South America,2009,126
South Asia,2009,3424
Southeast Asia,2009,476
Sub-Saharan Africa,2009,1691
Western Europe,2009,15
Australasia & Oceania,2010,0
Central America & Caribbean,2010,0
Central Asia,2010,8
East Asia,2010,7
Eastern Europe,2010,225
Middle East & North Africa,2010,2413
North America,2010,3
South America,2010,49
South Asia,2010,3292
Southeast Asia,2010,320
Sub-Saharan Africa,2010,764
Western Europe,2010,5
Central America & Caribbean,2011,2
Central Asia,2011,3
East Asia,2011,19
Eastern Europe,2011,163
Middle East & North Africa,2011,2435
North America,2011,0
South America,2011,24
South Asia,2011,3135
Southeast Asia,2011,264
Sub-Saharan Africa,2011,1076
Western Europe,2011,83
Central America & Caribbean,2012,0
Central Asia,2012,5
East Asia,2012,0
Eastern Europe,2012,112
Middle East & North Africa,2012,2728
North America,2012,13
South America,2012,38
South Asia,2012,4170
Southeast Asia,2012,165
Sub-Saharan Africa,2012,1386
Western Europe,2012,9
Australasia & Oceania,2013,0
Central America & Caribbean,2013,8
Central Asia,2013,0
East Asia,2013,11
Eastern Europe,2013,119
Middle East & North Africa,2013,5776
North America,2013,48
South America,2013,42
South Asia,2013,4222
Southeast Asia,2013,299
Sub-Saharan Africa,2013,1478
Western Europe,2013,5
Australasia & Oceania,2014,3
Central America & Caribbean,2014,5
Central Asia,2014,2
East Asia,2014,77
Eastern Europe,2014,584
Middle East & North Africa,2014,10477
North America,2014,25
South America,2014,25
South Asia,2014,5191
Southeast Asia,2014,300
Sub-Saharan Africa,2014,2122
Western Europe,2014,0
Australasia & Oceania,2015,0
Central America & Caribbean,2015,0
Central Asia,2015,2
East Asia,2015,4
Eastern Europe,2015,423
Middle East & North Africa,2015,9487
North America,2015,42
South America,2015,33
South Asia,2015,5164
Southeast Asia,2015,244
Sub-Saharan Africa,2015,2456
Western Europe,2015,132
Australasia & Oceania,2016,0
Central America & Caribbean,2016,9
Central Asia,2016,17
East Asia,2016,19
Eastern Europe,2016,106
Middle East & North Africa,2016,9885
North America,2016,16
South America,2016,22
South Asia,2016,4417
Southeast Asia,2016,342
Sub-Saharan Africa,2016,1983
Western Europe,2016,111
Australasia & Oceania,2017,3
Central America & Caribbean,2017,0
Central Asia,2017,0
East Asia,2017,8
Eastern Europe,2017,85
Middle East & North Africa,2017,5185
North America,2017,31
South America,2017,38
South Asia,2017,4597
Southeast Asia,2017,360
Sub-Saharan Africa,2017,2061
Western Europe,2017,37
